"id","category","name","grams","calories","carbs","protein","fat"
1,"곡류 및 그 제품","고량미,고량미, 알곡","100","349","67.8","10.1","3.7"
2,"곡류 및 그 제품","과자,스넥과자, 유아용과자","30","129.9","20.13","3.54","3.96"
3,"곡류 및 그 제품","귀리 가공(기타), 오트밀 ","100","382","64.9","13.2","8.2"
4,"곡류 및 그 제품","귀리(겉귀리), 도정곡, 생것","100","373","73.5","11.4","3.7"
5,"곡류 및 그 제품","귀리(쌀귀리),  도정곡, 생것","100","371","70.4","14.3","3.8"
6,"곡류 및 그 제품","기장, 도정곡, 생것","100","367","74.6","11.2","1.9"
7,"곡류 및 그 제품","냄비우동, 냉동 ","100","206","43.9","6","0.7"
8,"곡류 및 그 제품","녹두 가공(면류), 녹두국수 ","100","345","84.6","0.2","0.4"
9,"곡류 및 그 제품","대두 가공(과자류), 엿강정 ","30","135.3","11.73","11.31","4.8"
10,"곡류 및 그 제품","도토리 가공(면류), 국수, 마른것 ","100","345","72.2","12.4","0.7"
11,"곡류 및 그 제품","들깨 가공(과자류), 엿강정 ","30","161.4","14.67","3.96","9.66"
12,"곡류 및 그 제품","땅콩 가공(과자류), 엿강정 ","30","173.4","10.17","6.42","11.88"
13,"곡류 및 그 제품","라면, 스프포함, 조리 ","100","103","18.5","2.2","2"
14,"곡류 및 그 제품","라면,봉지면, 진라면, 매운맛(오뚜기)","100","421","65","8.3","14.2"
15,"곡류 및 그 제품","만두, 고기만두, 냉동 ","100","214","0.3","9.6","10.4"
16,"곡류 및 그 제품","만두, 김치만두, 냉동 ","100","190","21.7","6.6","8.5"
17,"곡류 및 그 제품","메밀 가공(가루), 메밀가루 ","100","364","69.6","13.4","2.8"
18,"곡류 및 그 제품","메밀 가공(면류), 메밀국수, 건면 ","100","344","66.7","14","2.3"
19,"곡류 및 그 제품","메밀 가공(면류), 메밀국수, 건면, 삶은것 ","100","114","22.1","4.8","0.7"
20,"곡류 및 그 제품","메밀 가공(면류), 메밀국수, 생면 ","100","276","61.4","7.3","0.1"
21,"곡류 및 그 제품","메밀 가공(면류), 메밀국수, 생면, 삶은것 ","100","142","28.7","6.6","0.1"
22,"곡류 및 그 제품","메밀 가공(면류), 메밀냉면, 인스턴트, 마른것 ","100","352","74.3","10.5","1.4"
23,"곡류 및 그 제품","메밀, 도정곡, 생것 ","100","374","74.7","11.5","2.3"
24,"곡류 및 그 제품","멥쌀 가공(가루), 백미가루 ","100","362","78.5","6.2","0.9"
